Gộp lịch csv Subject,Start Date,Start Time,End Date,End Time,Description,Location
HTML: Tổng quan và cấu trúc cơ bản,2024-12-17,19:00,2024-12-17,21:00,Học về các thẻ HTML cơ bản, cấu trúc tài liệu HTML,https://www.w3schools.com/html/
HTML: Form và Input,2024-12-18,19:00,2024-12-18,21:00,Tìm hiểu cách tạo form, input và submit dữ liệu,https://www.w3schools.com/html/
HTML: Thẻ đa phương tiện,2024-12-19,19:00,2024-12-19,21:00,Học cách thêm video, audio và hình ảnh vào website,https://www.w3schools.com/html/
Thực hành HTML: Tạo CV online,2024-12-20,19:00,2024-12-20,21:00,Xây dựng CV cá nhân bằng HTML với các phần giới thiệu, kỹ năng, liên hệ,https://www.w3schools.com/html/
CSS: Tổng quan và cú pháp cơ bản,2024-12-21,19:00,2024-12-21,21:00,Tìm hiểu CSS và cách áp dụng style cơ bản,https://www.w3schools.com/css/
CSS: Flexbox và bố cục,2024-12-22,19:00,2024-12-22,21:00,Học cách sử dụng Flexbox để tạo bố cục linh hoạt,https://www.w3schools.com/css/css3_flexbox.asp
Thực hành CSS: Thiết kế website tĩnh,2024-12-23,19:00,2024-12-23,21:00,Tạo bố cục đẹp mắt với Flexbox cho CV đã làm ở HTML,https://www.w3schools.com/css/
CSS: Animation cơ bản,2024-12-24,19:00,2024-12-24,21:00,Học cách tạo hiệu ứng chuyển động trên website,https://www.w3schools.com/css/css3_animations.asp
Thực hành CSS: Animation thực tế,2024-12-25,19:00,2024-12-25,21:00,Áp dụng animation cho giao diện trang chủ website cá nhân,https://www.w3schools.com/css/
JavaScript: Tổng quan và cú pháp cơ bản,2024-12-26,19:00,2024-12-26,21:00,Học các cú pháp như biến, vòng lặp, điều kiện,https://www.w3schools.com/js/
JavaScript: DOM và sự kiện,2024-12-27,19:00,2024-12-27,21:00,Thao tác với HTML qua DOM và xử lý sự kiện người dùng,https://www.w3schools.com/js/js_htmldom.asp
JavaScript: Xây dựng tính năng cơ bản,2024-12-28,19:00,2024-12-28,21:00,Tạo hiệu ứng hiển thị/hide nội dung, tính toán cơ bản trên form,https://www.w3schools.com/js/
Thực hành JavaScript: Ứng dụng To-Do List,2024-12-29,19:00,2024-12-29,21:00,Xây dựng ứng dụng quản lý công việc đơn giản,https://www.w3schools.com/js/
React: Tổng quan và khởi động dự án,2025-01-02,19:00,2025-01-02,21:00,Học cách cài đặt và cấu hình React,https://reactjs.org/
React: Component và Props,2025-01-03,19:00,2025-01-03,21:00,Học cách tạo và sử dụng component,https://reactjs.org/
React: State và sự kiện,2025-01-04,19:00,2025-01-04,21:00,Tìm hiểu cách quản lý dữ liệu động với state,https://reactjs.org/
Thực hành React: Ứng dụng quản lý danh bạ,2025-01-05,19:00,2025-01-05,21:00,Xây dựng ứng dụng quản lý danh bạ với React,https://reactjs.org/
Node.js: Tổng quan và cài đặt,2025-01-06,19:00,2025-01-06,21:00,Học cách cài đặt và khởi chạy Node.js,https://nodejs.org/
Node.js: Xây dựng API cơ bản,2025-01-07,19:00,2025-01-07,21:00,Tạo API với Express.js,https://expressjs.com/
Thực hành Node.js: API cho ứng dụng quản lý danh bạ,2025-01-08,19:00,2025-01-08,21:00,Xây dựng API cho quản lý danh bạ đã làm ở React,https://nodejs.org/
MongoDB: Tổng quan và thao tác cơ bản,2025-01-09,19:00,2025-01-09,21:00,Học cách kết nối, thêm, sửa, xóa dữ liệu,https://www.mongodb.com/
Thực hành MongoDB: Quản lý dữ liệu danh bạ,2025-01-10,19:00,2025-01-10,21:00,Tích hợp MongoDB với API Node.js,https://www.mongodb.com/
Fullstack: Kết nối Frontend và Backend,2025-01-11,19:00,2025-01-11,21:00,Học cách kết nối React với Node.js qua API,https://www.fullstackopen.com/
Thực hành Fullstack: Ứng dụng quản lý danh bạ hoàn chỉnh,2025-01-12,19:00,2025-01-12,21:00,Hoàn thiện dự án fullstack với React, Node.js, MongoDB,https://www.fullstackopen.com/
React Native: Xây dựng ứng dụng di động,2025-01-13,19:00,2025-01-13,21:00,Học cách sử dụng React Native để tạo ứng dụng,https://reactnative.dev/
Thực hành React Native: Ứng dụng quản lý công việc,2025-01-14,19:00,2025-01-14,21:00,Xây dựng ứng dụng di động đơn giản với React Native,https://reactnative.dev/
React Native: Tích hợp API,2025-01-15,19:00,2025-01-15,21:00,Học cách kết nối React Native với backend qua API,https://reactnative.dev/
Thực hành React Native: Tích hợp API quản lý công việc,2025-01-16,19:00,2025-01-16,21:00,Kết nối ứng dụng React Native với API Node.js,https://reactnative.dev/
React Native: Quản lý state với Redux,2025-01-17,19:00,2025-01-17,21:00,Học cách sử dụng Redux để quản lý dữ liệu,https://redux.js.org/
Thực hành React Native: Ứng dụng với Redux,2025-01-18,19:00,2025-01-18,21:00,Xây dựng ứng dụng React Native sử dụng Redux,https://redux.js.org/
Dự án thực hành: Ứng dụng lịch cá nhân,2025-01-20,19:00,2025-01-20,21:00,Thiết kế và xây dựng ứng dụng lịch cá nhân với React Native,https://reactnative.dev/
Node.js: Quản lý file và bảo mật,2025-01-21,19:00,2025-01-21,21:00,Học cách quản lý file, upload và bảo mật API,https://nodejs.org/
Thực hành Node.js: Hệ thống upload file,2025-01-22,19:00,2025-01-22,21:00,Xây dựng tính năng upload file trong API,https://nodejs.org/
MongoDB: Cải thiện hiệu suất và mô hình dữ liệu,2025-01-23,19:00,2025-01-23,21:00,Học cách tối ưu hóa dữ liệu và truy vấn,https://www.mongodb.com/
